EmployeeNumber,Age,age_band,Gender,MaritalStatus,Department,JobRole,JobLevel,Education_label,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,income_quartile,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,tenure_band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction_label,EnvironmentSatisfaction_label,RelationshipSatisfaction_label,JobInvolvement_label,WorkLifeBalance_label,satisfaction_band,PerformanceRating,Attrition,attrition_flag
1,41,36 to 45,Female,Single,Sales,Sales Executive,2,2 College,Life Sciences,Travel_Rarely,1,Yes,5993,Q3,11,0,8,6,6 to 10,4,0,5,8,0,4 Very High,2 Medium,1 Low,3 High,1 Bad,Low,3,Yes,1
2,49,46 to 60,Male,Married,Research & Development,Research Scientist,2,1 Below College,Life Sciences,Travel_Frequently,8,No,5130,Q3,23,1,10,10,6 to 10,7,1,7,1,3,2 Medium,3 High,4 Very High,2 Medium,3 Better,Good,4,No,0
4,37,36 to 45,Male,Single,Research & Development,Laboratory Technician,1,2 College,Other,Travel_Rarely,2,Yes,2090,Q1 lowest,15,0,7,0,Under 1 year,0,0,0,6,3,3 High,4 Very High,2 Medium,2 Medium,3 Better,Good,3,Yes,1
5,33,26 to 35,Female,Married,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Frequently,3,Yes,2909,Q1 lowest,11,0,8,8,6 to 10,7,3,0,1,3,3 High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
7,27,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,2,No,3468,Q2,12,1,6,2,1 to 2,2,2,2,9,3,2 Medium,1 Low,4 Very High,3 High,3 Better,Below average,3,No,0
8,32,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,2 College,Life Sciences,Travel_Frequently,2,No,3068,Q2,13,0,8,7,6 to 10,7,3,6,0,2,4 Very High,4 Very High,3 High,3 High,2 Good,Good,3,No,0
10,59,46 to 60,Female,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,3,Yes,2670,Q1 lowest,20,3,12,1,Under 1 year,0,0,0,4,3,1 Low,3 High,1 Low,4 Very High,2 Good,Low,4,No,0
11,30,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,1 Below College,Life Sciences,Travel_Rarely,24,No,2693,Q1 lowest,22,1,1,1,Under 1 year,0,0,0,1,2,3 High,4 Very High,2 Medium,3 High,3 Better,Good,4,No,0
12,38,36 to 45,Male,Single,Research & Development,Manufacturing Director,3,3 Bachelor,Life Sciences,Travel_Frequently,23,No,9526,Q4 highest,21,0,10,9,6 to 10,7,1,8,0,2,3 High,4 Very High,2 Medium,2 Medium,3 Better,Good,4,No,0
13,36,36 to 45,Male,Married,Research & Development,Healthcare Representative,2,3 Bachelor,Medical,Travel_Rarely,27,No,5237,Q3,13,2,17,7,6 to 10,7,7,7,6,3,3 High,3 High,2 Medium,3 High,2 Good,Below average,3,No,0
